0;0.010000;0.000000;0.009556;0.002948;0.008262;0.005633;0.006235;0.007818;0.003653;0.009309;0.000747;0.009972;-0.002225;0.009749;-0.005000;0.008660;-0.007331;0.006802;-0.009010;0.004339;-0.009888;0.001490;-0.009888;-0.001490;-0.009010;-0.004339;-0.007331;-0.006802;-0.005000;-0.008660;-0.002225;-0.009749
300;-3.556967;0.502599;-0.637149;0.344510;-0.641401;0.116632;-0.547635;-0.125712;-0.360770;-0.329451;-0.132654;-0.450793;0.078928;-0.484881;0.251798;-0.451292;0.378390;-0.364691;0.458516;-0.235235;0.492234;-0.065095;0.466244;0.131904;0.365949;0.327707;0.207155;0.482326;0.031018;0.569318;-0.120028;0.594562
600;-7.123915;1.005196;-1.283666;0.685390;-1.290692;0.227255;-1.101298;-0.259047;-0.724892;-0.668014;-0.265711;-0.911320;0.159893;-0.979063;0.508178;-0.910815;0.763933;-0.735384;0.925651;-0.474538;0.993858;-0.131907;0.942103;0.264962;0.740561;0.659539;0.421428;0.971242;0.067508;1.146763;-0.237084;1.198495
900;-10.690858;1.507792;-1.930138;1.026108;-1.939891;0.337785;-1.654909;-0.392326;-1.088929;-1.006529;-0.398687;-1.371787;0.240811;-1.473144;0.764454;-1.370219;1.149415;-1.105877;1.392705;-0.713765;1.495359;-0.198863;1.417896;0.397936;1.115087;0.991329;0.635648;1.460106;0.104115;1.724076;-0.353957;1.802335
1200;-14.257799;2.010388;-2.576589;1.366704;-2.589054;0.448273;-2.208503;-0.525589;-1.452934;-1.345023;-0.531626;-1.832229;0.321708;-1.967162;1.020684;-1.829577;1.534878;-1.476283;1.859717;-0.952962;1.996806;-0.265843;1.893659;0.530874;1.489574;1.323095;0.849845;1.948947;0.140775;2.301330;-0.470747;2.406133
1500;-17.824739;2.512984;-3.223029;1.707256;-3.238195;0.558736;-2.762084;-0.658841;-1.816920;-1.683504;-0.664545;-2.292657;0.402593;-2.461153;1.276889;-2.288909;1.920331;-1.846640;2.326705;-1.192143;2.498222;-0.332837;2.369405;0.663792;1.864041;1.654849;1.064029;2.437775;0.177464;2.878552;-0.587493;3.009908
1800;-21.391678;3.015579;-3.869462;2.047783;-3.887323;0.669184;-3.315657;-0.792085;-2.180904;-2.021976;-0.797446;-2.753077;0.483470;-2.955126;1.533076;-2.748224;2.305778;-2.216966;2.793678;-1.431312;2.999619;-0.399840;2.845140;0.796696;2.238494;1.986594;1.278205;2.926595;0.214172;3.455753;-0.704209;3.613669
2100;-24.958617;3.518174;-4.515888;2.388291;-4.536440;0.779622;-3.869224;-0.925323;-2.544880;-2.360443;-0.930338;-3.213492;0.564342;-3.449087;1.789252;-3.207529;2.691220;-2.587270;3.260640;-1.670475;3.501003;-0.466850;3.320868;0.929591;2.612937;2.318334;1.492375;3.415410;0.250892;4.032939;-0.820904;4.217419
2400;-28.525555;4.020770;-5.162310;2.728786;-5.185550;0.890052;-4.422788;-1.058558;-2.908850;-2.698906;-1.063223;-3.673902;0.645210;-3.943039;2.045420;-3.666825;3.076658;-2.957558;3.727595;-1.909632;4.002377;-0.533864;3.796591;1.062480;2.987374;2.650069;1.706540;3.904220;0.287622;4.610115;-0.937585;4.821161
2700;-32.092493;4.523365;-5.808729;3.069272;-5.834654;1.000477;-4.976346;-1.191795;-3.272816;-3.037365;-1.196103;-4.134308;0.726075;-4.436984;2.301581;-4.126115;3.462094;-3.327834;4.194544;-2.148784;4.503744;-0.600881;4.272309;1.195363;3.361805;2.981802;1.920703;4.393027;0.324360;5.187282;-1.054255;5.424898
3000;-35.659430;5.025960;-6.455145;3.409749;-6.483754;1.110897;-5.529902;-1.325029;-3.636777;-3.375822;-1.328979;-4.594712;0.806938;-4.930924;2.557738;-4.585399;3.847528;-3.698100;4.661488;-2.387934;5.005104;-0.667901;4.748024;1.328242;3.736232;3.313531;2.134862;4.881831;0.361103;5.764443;-1.170916;6.028630
3300;-39.226368;5.528555;-7.101560;3.750224;-7.132851;1.221314;-6.083456;-1.458261;-4.000736;-3.714278;-1.461852;-5.055113;0.887798;-5.424859;2.813890;-5.044680;4.232959;-4.068358;5.128428;-2.627080;5.506460;-0.734923;5.223737;1.461118;4.110656;3.645259;2.349020;5.370633;0.397851;6.341599;-1.287569;6.632358
3600;-42.793305;6.031151;-7.747973;4.090693;-7.781945;1.331731;-6.637008;-1.591491;-4.364693;-4.052732;-1.594722;-5.515513;0.968658;-5.918791;3.070049;-5.503949;4.618389;-4.438631;5.595365;-2.866227;6.007812;-0.801947;5.699447;1.593992;4.485084;3.976970;2.563176;5.859433;0.434603;6.918750;-1.404216;7.236084
3900;-46.360242;6.533746;-8.394385;4.431158;-8.431036;1.442146;-7.190559;-1.724721;-4.728647;-4.391184;-1.727589;-5.975911;1.049515;-6.412719;3.326206;-5.963216;5.003818;-4.808898;6.062299;-3.105372;6.509160;-0.868973;6.175156;1.726863;4.859510;4.308680;2.777330;6.348232;0.471358;7.495897;-1.520858;7.839807
4200;-49.927179;7.036341;-9.040796;4.771619;-9.080125;1.552559;-7.744108;-1.857949;-5.092600;-4.729635;-1.860455;-6.436307;1.130372;-6.906645;3.582360;-6.422480;5.389245;-5.179161;6.529231;-3.344516;7.010506;-0.936000;6.650862;1.859732;5.233934;4.640389;2.991483;6.837030;0.508116;8.073041;-1.637496;8.443527
4500;-53.494116;7.538936;-9.687206;5.112076;-9.729213;1.662970;-8.297657;-1.991176;-5.456551;-5.068086;-1.993319;-6.896703;1.211228;-7.400569;3.838512;-6.881742;5.774672;-5.549419;6.996161;-3.583658;7.511849;-1.003028;7.126568;1.992600;5.608356;4.972097;3.205635;7.325826;0.544876;8.650183;-1.754131;9.047246
4800;-57.061053;8.041531;-10.333615;5.452531;-10.378298;1.773379;-8.851205;-2.124402;-5.820501;-5.406535;-2.126181;-7.357097;1.292083;-7.894491;4.094662;-7.341002;6.160098;-5.919674;7.463089;-3.822799;8.013189;-1.070057;7.602272;2.125466;5.982777;5.303804;3.419787;7.814622;0.581638;9.227322;-1.870762;9.650963
5100;-60.627990;8.544126;-10.980023;5.792983;-11.027383;1.883787;-9.404751;-2.257627;-6.184450;-5.744984;-2.259043;-7.817490;1.372937;-8.388411;4.350811;-7.800261;6.545523;-6.289926;7.930016;-4.061939;8.514528;-1.137086;8.077976;2.258331;6.357196;5.635510;3.633937;8.303416;0.618402;9.804459;-1.987390;10.254678
